order; fide_id; name; federation; gender; title; yob
252;2103079;Gomes, Jainy R. Magalhaes;BRA;F;;1975
253;2103087;Zampronha, Wladimir Camilo;BRA;M;;1971
254;2103095;Ganhoto, Marco Alves;BRA;M;;1971
255;2103109;Dini, Claudio Rogerio;BRA;M;;1951
256;2103117;Blank Goncalves, Eduardo;BRA;M;;1960
257;2103125;Santos, Marcus Vinicius Moreira;BRA;M;IM;1977
258;2103133;Melao, Hindemburg;BRA;M;;1972
259;2103141;Nascimento, Roberto;BRA;M;;1972
260;2103150;De Holanda, Cleber Moreira;BRA;M;;1955
261;2103168;Lins Neto, Eliud;BRA;M;;1986
262;2103184;Stolte Bezerra, Thiago;BRA;M;;1980
263;2103192;Vitoriano, Jose;BRA;M;;1984
264;2103206;Ribeiro, Guilherme Wanderley;BRA;M;;1990
265;2103214;Teixeira, William de Almeida;BRA;M;;1959
266;2103222;Teixeira, Edson B. de Franca;BRA;M;;1966
267;2103230;Ramos Capelari, Marcos Jose;BRA;M;;1961
268;2103257;Barboza, Fernando;BRA;M;;1992
269;2103265;Boffa, Sergio;BRA;M;;1939
270;2103273;Cruz, Ricardo Benares de Sa L.;BRA;M;FM;1981
271;2103281;Gerbelli Neto, Eduardo;BRA;M;;1967
272;2103290;Reis,Paulo F. Jatoba de Oliveira;BRA;M;FM;1973
273;2103303;Freitas, Andre Henrique Lemos;BRA;M;;1968
274;2103311;Souza Filho, Namyr Carlos;BRA;M;;1959
275;2103320;Maia, Jose Simplicio;BRA;M;;1941
276;2103338;Capuzzo, Marcos;BRA;M;;1976
277;2103346;Campelo, Leandro Fabricio;BRA;M;;1977
278;2103354;Vazzoler Junior, Hermes;BRA;M;;1970
279;2103362;Rocha,Jorge Wilson M. da;BRA;M;CM;1964
280;2103370;Cantarino Neto, Mario Ribeiro;BRA;M;;1957
281;2103389;Pimentel, Frederico Guilherme;BRA;M;;1941
282;2103397;De Toledo, Juliana Kyoko Kamada;BRA;F;;1964
283;2103400;Umetsubo, Cesar Hidemitsu;BRA;M;IM;1984
284;2103419;Rodrigues, Camilo Pinto;BRA;M;FM;1983
285;2103427;Macedo, Maximo Igor;BRA;M;;1978
286;2103435;Braga, Jose Pereira;BRA;M;;1948
287;2103443;Branchini,Fernando Luis Sakamoto;BRA;M;;1996
288;2103451;Macedo, Alexandre Soares de;BRA;M;;1957
289;2103460;Brujin, Homero;BRA;M;;1958
290;2103478;Maia, Luciano Malta;BRA;M;FM;1977
291;2103486;Dias, Sergio Moreira Ferreira;BRA;M;;1962
292;2103494;Dianda, Joao Carlos;BRA;M;;1976
293;2103508;Sega, Carlos Alberto;BRA;M;FM;1967
294;2103516;Pereira, Ernesto Luis de Assis;BRA;M;;1948
295;2103524;Romano, Alexandre Pinto;BRA;M;;1966
296;2103540;Figueiredo, Francisco Marques;BRA;M;;1944
297;2103559;Dos Santos, Emmanuel;BRA;M;;1977
298;2103567;Rebello, Octacilio Freire Veloso;BRA;M;;1963
299;2103575;Marcolino, Antonio Claudio H.;BRA;M;;1960
300;2103583;De Almeida Jr, Benone Lopes;BRA;M;;1981
301;2103591;De Assis, Claudio Henrique J;BRA;M;;1963
302;2103605;De Assis, Henrique Zerbini J;BRA;M;;1997
303;2103613;De Macedo, Carlos Alberto;BRA;M;;1963
304;2103621;Del Bosco, Roberto Paulo;BRA;M;;1942
305;2103630;De Sousa, Matheus Mazim;BRA;M;;1997
306;2103648;Dias, Simao Poscidonio;BRA;M;FM;1980
307;2103656;Do Nascimento, Pablo Salermo Mon;BRA;M;;1982
308;2103664;Bussman, Henrique;BRA;M;;1954
309;2103672;Feliciano, Nilo;BRA;M;;1955
310;2103680;Reis, Ernesto Guevara;BRA;M;;1964
311;2103699;Garcia, Marcos Dos Santos;BRA;M;;1969
312;2103702;Haddad Filho, Paulo Ibrahim;BRA;M;;1966
313;2103729;Mazzei Filho, Luiz Carlos;BRA;M;;1986
314;2103737;Modes, Andre Vinicius;BRA;M;;1981
315;2103745;Nunes, Adilson;BRA;M;;1968
316;2103753;Nunes, Guilherme Hurba;BRA;M;;1994
317;2103761;Oba, Joao Paulo de Oliveira;BRA;M;;1995
318;2103796;Pereira, Gabriel Sebastiao;BRA;M;;1994
319;2103818;Romero, Lila Angelica;BRA;F;;1997
320;2103826;Roselli, Danilo Palomares;BRA;M;;1992
321;2103834;Santana, Expedito;BRA;M;;1951
322;2103842;Burgos, Marcelo Alves;BRA;M;;1972
323;2103850;Santiago, Vandeck Souza;BRA;M;;1962
324;2103869;Chih, Lee Hung;BRA;M;;1968
325;2103877;Santiago, Yago De Moura;BRA;M;GM;1992
326;2103885;Santos, Isaque Goncalves;BRA;M;;1985
327;2103893;Sant Anna, Eddie Luiz G.;BRA;M;;1981
328;2103907;Sokolik, David Jose;BRA;M;;1955
329;2103915;Chagas, Fernando Paulino;BRA;M;;1969
330;2103931;Aranha Filho, Alvaro Z.;BRA;M;FM;1979
331;2103958;Tratz, Leonardo Schmaedecke;BRA;M;;1995
332;2103982;Vasconcelos, Danilo Nunes;BRA;M;;1984
333;2103990;Jareski, Krishnamurti;BRA;M;;1973
334;2104008;Bortoloso, Moacir Canella;BRA;M;CM;1964
335;2104016;Silveira, Rogerio Zanon da;BRA;M;;1963
336;2104024;Serra Azul Neto, Francisco;BRA;M;;1967
337;2104032;Veloso, Perseu Felipe Simoes;BRA;M;;1991
338;2104040;Navarro, Luis Flavio Cunha;BRA;M;;1974
339;2104059;Zanetti, Joao Carlos Pereira;BRA;M;;1953
340;2104067;Ladeira, Joao Bosco Amado;BRA;M;FM;1952
341;2104075;Ferber, Thiago Luciano Lavalle;BRA;M;;1977
342;2104083;Paula Junior, Brenno Vicente de;BRA;M;;1956
343;2104105;Lucena, Helianto dos Santos;BRA;M;;1942
344;2104113;Maia, Raul Victor Lima Pereira;BRA;M;;1982
345;2104121;Silveira, Marcos de Sousa;BRA;M;;1962
346;2104130;Rodrigues, Giorgy Friedman B.;BRA;M;;1975
347;2104148;Macedo, Fabio Luiz Soares;BRA;M;;1967
348;2104156;Souza, Marcos Valerio A.;BRA;M;;1961
349;2104164;Macedo, Luiz Soares de;BRA;M;;1923
350;2104172;Da Mata, Luis Carlos;BRA;M;;1966
351;2104180;Vittorato, Georges;BRA;M;;1955
352;2104199;Mendes, Diego Silva;BRA;M;;1982
353;2104202;Kubrusly, Jose Cristovam S.;BRA;M;;1955
354;2104210;Cipolli, Antonio Carlos Rodrigues;BRA;M;;1952
355;2104229;Martins, Vilker Germano;BRA;M;;1974
356;2104237;Barata, Ricardo de Souza;BRA;M;;1969
357;2104245;Brito, Clovis Bevilaqua Campos;BRA;M;;1959
358;2104261;Ladeira, Jarbas de Carvalho;BRA;M;;1943
359;2104296;Leal, Joao Vitor;BRA;M;;1983
360;2104300;Vonk, Rogerio;BRA;M;;1968
361;2104326;Godois, Jorge de Oliveira;BRA;M;;1964
362;2104334;Lima Fo, Jose Pacifico;BRA;M;;1956
363;2104342;Capatti, Eduardo;BRA;M;;1966
364;2104350;Pinheiro, Iung Alicio de O.;BRA;M;FM;1982
365;2104377;Miguel, Gabriel Carvalho Moreira;BRA;M;CM;1984
366;2104385;Siqueira, Alexandre Carneiro;BRA;M;;1969
367;2104393;Dos Santos, Leonardo Augusto;BRA;M;;1995
368;2104407;Haman, Muhammad;BRA;M;;1946
369;2104415;Ishikawa, Emilio Keiji;BRA;M;;1972
370;2104423;Lacerda, Cesar Romeu;BRA;M;;1962
371;2104440;Moreira, Altair Carlos Faria;BRA;M;;1959
372;2104458;Abelha, Mozart Rosa;BRA;M;;1953
373;2104466;Lahud, Tarcisio Jose;BRA;M;;1947
374;2104474;Vivaldo, Fernando;BRA;M;;1976
375;2104490;Franco, Haroldo Jose de Arruda;BRA;M;;1966
376;2104504;Rodarte, Bruno Anderson Lima;BRA;M;;1988
377;2104520;Delai, Paula Fernanda;BRA;F;WFM;1981
378;2104539;Rocha, Valdemir Soares;BRA;M;;1967
379;2104555;Venancio, Bruna Fernanda;BRA;F;;1994
380;2104563;Cicala, Luis Carlos;BRA;M;;1946
381;2104571;Chaves, Marcelo Ferreira;BRA;M;;1970
382;2104580;Aramuni, Jorge Elias da F.;BRA;M;;1961
383;2104598;Duarte, Renato Cassio del G;BRA;M;;1970
384;2104610;Silva, Othon Jose de Souza;BRA;M;;1989
385;2104628;Damasceno, Alecio Souza;BRA;M;;1940
386;2104636;Da Silva, Osmar Miranda Junior;BRA;M;;1965
387;2104644;Ferreira, Nelson Castelo Branco;BRA;M;;1961
388;2104652;De Freitas, Julio Eimard;BRA;M;;1963
389;2104660;Da Silveira, Jose Tarcisio D.;BRA;M;;1942
390;2104687;Costa Berbel, Eduardo;BRA;M;;1967
391;2104709;De Almeida, Heitor;BRA;M;;1993
392;2104717;Felix Simoes, Rodrigo;BRA;M;;1985
393;2104750;Guelerman Ramos, Felipe E;BRA;M;;1988
394;2104768;Da Silva Filho, Adolfo Ferreira;BRA;M;;1963
395;2104776;Fucs, Paulo Moses;BRA;M;;1967
396;2104784;Madeu, Fernando Antonio de B.;BRA;M;;1956
397;2104792;Oliveira, Italo Matias de;BRA;M;;1975
398;2104806;Herculano Diniz, Tito;BRA;M;;1948
399;2104814;Palmeira, Pedro Alberto Martins;BRA;M;;1958
400;2104822;Nery Junior, Jose Antonio;BRA;M;CM;1987
401;2104830;Abreu, Guilherme Correa;BRA;M;;1967
402;2104849;Velloso, Benedito;BRA;M;;1963
403;2104857;Malbran, Emilio;BRA;M;;1954
404;2104865;Maia, Marco Aurelio Ferreira;BRA;M;;1971
405;2104881;Britto, Ricardo Marzullo de;BRA;M;;1963
406;2104890;Sant Ana, Ricardo;BRA;M;;1973
407;2104903;Rosa, Luis Paulo;BRA;M;;1950
408;2104911;Da Silva, Jose Victor;BRA;M;;1931
409;2104920;Dabus, Sergio Brant;BRA;M;;1959
410;2104938;Alvares, Antonio de Padua;BRA;M;;1944
411;2104946;Brito, Elcio Eustaquio de Franca;BRA;M;;1952
412;2104954;Viana, Julio Elias da Fonseca;BRA;M;;1962
413;2104962;Pacifico, Franklin de Oliveira;BRA;M;;1959
414;2104970;De Souza, Sergio R. Rastoldo;BRA;M;;1956
415;2104989;Achutti, Andre;BRA;M;;1982
416;2104997;Gervasio, Ricardo;BRA;M;;1960
417;2105004;Wafte, Rodrigo;BRA;M;;1980
418;2105012;Santos, Fernanda Ferreira dos;BRA;F;;1981
419;2105020;Reinaldo Dos Santos, Julio;BRA;M;;1981
420;2105039;Vargas, Goncalo Cintra;BRA;M;;1971
421;2105047;Leao, Breno Siqueira;BRA;M;;1974
422;2105063;Alarcon, Ricardo;BRA;M;;1968
423;2105098;Valente, Rodrigo de Deus;BRA;M;;1971
424;2105110;Teixeira, Aloisio;BRA;M;;1970
425;2105128;Deus Filho, Joaquim de;BRA;M;;1961
426;2105136;Prol Medeiros, Horacio;BRA;M;;1959
427;2105144;Ferreira, Francisco Caninde;BRA;M;;1970
428;2105152;Zenni, Mohamad Hassan Abou;BRA;M;;1965
429;2105160;Lima, Jairo;BRA;M;;1958
430;2105179;Leitao, Nicolau;BRA;M;;1983
431;2105209;Triebe de Mello, Otto Carlos;BRA;M;;1948
432;2105217;Freitas, Romeo Salvador;BRA;M;FM;1975
433;2105225;Wilson Salvi, Ricardo;BRA;M;;1961
434;2105233;Galindo, Wilfredo Eduardo M.;BRA;M;;1964
435;2105241;Grilo, Marcos Barbosa;BRA;M;;1947
436;2105250;Mendes, David;BRA;M;;1962
437;2105276;Angeli Galvani, Jose Henrique;BRA;M;;1997
438;2105284;De Freitas, Francisco Assis;BRA;M;;1968
439;2105292;Angeli Galvani, Maria Eduarda;BRA;F;;1996
440;2105306;Januario, Severino Pereira;BRA;M;CM;1968
441;2105314;Coelho, Luis Henrique;BRA;M;IM;1981
442;2105322;Sa, Antonio Villar Marques de;BRA;M;;1957
443;2105330;Porto, Cristiano Nogueira;BRA;M;;1971
444;2105349;Lima, Luiz Alexandre de Souza;BRA;M;;1965
